uri	name	type	synonyms	definition_description	resource	wikipedia
						
Feeds on What? (YES/NO)						
https://www.wikidata.org/entity/Q7486201	algivore	yes/no	algivores, algivorous, algae feeder, algae eater, eats algae, feeds on algae, algae grazer	consumer that eats algae	WikiData	https://en.wikipedia.org/wiki/Algae_eater
https://www.wikidata.org/entity/Q804528	bacterivore	yes/no	bacterivores, bacterivory, bacteria feeder, bacteria eater, eats bacteria, feeds on bacteria, bacteria grazer	organism which obtains energy and nutrients from the consumption of bacteria	WikiData	https://en.wikipedia.org/wiki/Bacterivore
http://www.wikidata.org/entity/Q81875	carnivore	yes/no	carnivores, carnivorous, eats animals, feeds on animals, meat eater, zoophage, eats animal material, feeds on animal material	organism that eats mostly or exclusively animal tissue	WikiData	https://en.wikipedia.org/wiki/Carnivore
http://eol.org/schema/terms/carnivorous_scavenger	carnivorous scavenger	yes/no	eats dead animals, feeds on dead animals	organism that feeds on dead animal material	Encyclopedia of Life	
http://www.wikidata.org/entity/Q320011	coprophage	yes/no	coprophages, coprophagous, coprophagy, feces feeder, eats feces, eats fecal matter, feeds on feces, feeds on fecal matter, scatophage, feces eater	an organism that feeds on feces	WikiData	https://en.wikipedia.org/wiki/Coprophagia
http://wikidata.org/entity/Q2750657	detritivore	yes/no	detritus feeder, detritus eater, eats detritus, feeds on detritus	organism that obtains nutrients by consuming detritus	WikiData	https://en.wikipedia.org/wiki/Detritivore
https://eol.org/schema/terms/diatom_feeder	diatom feeder	yes/no	microalgae feeder, microalgae eater, eats microalgae, feeds on microalgae	a consumer that feeds primarily on diatoms	Encyclopedia of Life	
http://www.wikidata.org/entity/Q617573	folivore	yes/no	leaf feeder, leaf eater, eats leaves, feeds on leaves	herbivore animal that specializes in eating leaves	WikiData	https://en.wikipedia.org/wiki/Folivore
https://www.wikidata.org/wiki/Q48835467	florivore	yes/no	flower feeder, flower eater, eats flowers, feeds on flowers	animal that mostly eats flowers	WikiData	https://en.wikipedia.org/wiki/Florivore
https://eol.org/schema/terms/freshwater_carnivore	freshwater carnivore	yes/no	aquatic carnivore	A consumer that feeds primarily on freshwater animals	Encyclopedia of Life	
http://www.wikidata.org/entity/Q1470764	frugivore	yes/no	fruit feeder, fruit eater, eats fruit, feeds on fruit	organism that eats fruit	WikiData	https://en.wikipedia.org/wiki/Frugivore
https://www.wikidata.org/entity/Q3331325	fungivore	yes/no	fungi feeder, fungi eater, eats fungi, feeds on fungi	organism that consumes fungi	WikiData	https://en.wikipedia.org/wiki/Fungivore
https://www.wikidata.org/entity/Q738999	generalist	yes/no	broad diet range, wide diet range	A species that can be found in very many different biotopes	WikiData	https://en.wikipedia.org/wiki/Generalist_and_specialist_species
http://www.wikidata.org/entity/Q1974986	granivore	yes/no	seed feeder, seed eater, eats seeds, feeds on seeds	organism that eats plant seeds.	WikiData	https://en.wikipedia.org/wiki/Seed_predation
http://www.wikidata.org/entity/Q939099	hematophage	yes/no	blood feeder, blood sucker, hemovore, hematophagy, haematophagy, feeds on blood	practice by certain animals of feeding on blood	WikiData	https://en.wikipedia.org/wiki/Hematophagy
https://www.wikidata.org/entity/Q59099	herbivore	yes/no	herbivores, herbivorous, phytophage, phytophagous, herbivory, eats plants, plant eater, feeds on plants, plant eater	animal anatomically and physiologically adapted to eating plant material	WikiData	https://en.wikipedia.org/wiki/Herbivore
http://eol.org/schema/terms/herpetivore	herpetivore	yes/no	eats reptiles, eats amphibians, feeds on reptiles, feeds on amphibians	carnivorous animal which eats primarily reptiles or amphibians	Encyclopedia of Life	
http://www.wikidata.org/entity/Q677088	insectivore	yes/no	insectivores, insectivorous, eats insects, feeds on insects, insectivory	organism that eats insects.	WikiData	https://en.wikipedia.org/wiki/Insectivore
http://eol.org/schema/terms/invertivore	invertivore	yes/no	invertivores, invertivory, eats invertebrates, feeds on invertebrates	An organism that feed on invertebrate animals (insects, crustaceans, molluscs, worms, etc.)	Encyclopedia of Life	
https://eol.org/schema/terms/microbivore	microbivore	yes/no	microbivores, microbivorous, eats microbes, feeds on microbes, microbe eater, microbe feeder, microbe grazer	a consumer feeding primarily on microbes. For instance, many animals of the mesofauna, microfauna and meiofauna	Encyclopedia of Life	https://en.wikipedia.org/wiki/Microbivory
https://www.wikidata.org/wiki/Q2422965	myrmecophage	yes/no	myrmecophages, myrmecophagous, myrmecophagy, eats ants, feeds on ants, ant eater, ant feeder	organism that consumes termites or ants	WikiData	https://en.wikipedia.org/wiki/Myrmecophagy
http://www.wikidata.org/entity/Q120880	nectarivore	yes/no	nectarivores, nectarivorous, nectarivory, nectar feeder, nectar eater, feeds on nectar, eats nectar	organism that consumes sugar-rich nectar produced by flowering plants	WikiData	https://en.wikipedia.org/wiki/Nectarivore
http://www.wikidata.org/entity/Q164509	omnivore	yes/no	omnivores, omnivorous, eat plants and animals, feed on plants and animals, eat plant and animal material, feed on plant and animal material	organism consuming a variety of foods, usually including both plants and animals	WikiData	https://en.wikipedia.org/wiki/Omnivore
https://www.wikidata.org/entity/Q60743215	ovivore	yes/no	eats eggs, feeds on eggs, egg eater, egg feeder	a consumer that that feeds on unhatched eggs	WikiData	https://en.wikipedia.org/wiki/Egg_predation
https://www.wikidata.org/wiki/Q185138	phloem feeder	yes/no	phloeophagous, feeds on phloem, phloem sucker	organism that feeds on phloem tissue that transports the soluble organic compounds in vascular plants	WikiData	https://en.wikipedia.org/wiki/Phloem
http://www.wikidata.org/entity/Q1420208	piscivore	yes/no	piscivores, piscivorous, eats fish, fish eater, feeds on fish, fish feeder	carnivorous animal which eats primarily fish.	WikiData	https://en.wikipedia.org/wiki/Piscivore
https://www.wikidata.org/wiki/Q3805698	palynivore	yes/no	palynivores, pollinivore, eats pollen, pollen eater, feeds on pollen, pollen feeder	herbivorous animal which selectively eats the nutrient-rich pollen produced by angiosperms and gymnosperms	WikiData	https://en.wikipedia.org/wiki/Palynivore
http://wikidata.org/entity/Q7201320	planktivore	yes/no	planktivorous, planktivory, eats plankton, plankton eater, feeds on plankton, plankton feeder	an aquatic organism that feeds on planktonic food	WikiData	https://en.wikipedia.org/wiki/Planktivore
http://eol.org/schema/terms/root_feeder	root feeder	yes/no	root feeder, root eater, eats roots, feeds on roots	herbivorous animal which eats primarily roots	Encyclopedia of Life	
https://www.wikidata.org/wiki/Q1417593	specialist	yes/no	restricted diet range, narrow diet range	a plant or animal species that can thrive only in a narrow range of environmental conditions or has a limited diet	WikiData	https://en.wikipedia.org/wiki/Generalist_and_specialist_species
https://www.wikidata.org/wiki/Q7921649	vermivore	yes/no	vermivores, vermivorous, worm feeder, worm eater, eats worms, feeds on worms	animal that eats worms	WikiData	https://en.wikipedia.org/wiki/Vermivore
https://www.wikidata.org/wiki/Q122811	xylem feeder	yes/no	feeds on xylem, xylem sucker, xylem feeder	organism that feeds on xylem tissue that transports water from roots to shoots and leaves	WikiData	https://en.wikipedia.org/wiki/Xylem
http://www.wikidata.org/entity/Q45879481	xylophage	yes/no	xylophages, xylophagy, xylophagous, eats wood, wood eater, feeds on wood, wood feeder	organism that derives nutrition primarily from wood	WikiData	https://en.wikipedia.org/wiki/Xylophage
						
Feeds How? (YES/NO)						
http://eol.org/schema/terms/activeForaging	active forager	yes/no	forager behaviour, seeks food, searches for food, forages for food	An organism which obtains food primarily by active searching	Encyclopedia of Life	https://en.wikipedia.org/wiki/Foraging
http://eol.org/schema/terms/ambush	ambush predator	yes/no	stealth predator, concealed predator, stealth hunter, concealed hunter, ambush hunter, ambush feeder, stealth feeder	organisms that capture or trap prey by stealth or by strategy (typically not conscious strategy), rather than by speed or by strength	Encyclopedia of Life	https://en.wikipedia.org/wiki/Ambush_predator
https://eol.org/schema/terms/cell_sucker	cell-sucker	yes/no	sucking feeder	A consumer that feeds by piercing and sucking fluid from individual cells, of either a single celled or a multicelled organism	Encyclopedia of Life	
http://eol.org/schema/terms/ciliary_mucus_feeder	ciliary-mucus feeder	yes/no	mucus-net feeder, ciliary feeder	a consumer that feeds using rows of cilia carrying a mucus sheet across some structure while water is passed through or across it	Encyclopedia of Life	
http://eol.org/schema/terms/cruising	cruising feeder	yes/no	feeds while cruising, forages while cruising	An organism which obtains food by foraging while cruising	Encyclopedia of Life	
http://eol.org/schema/terms/depositFeeder	deposit feeder	yes/no	sediment feeder, benthic feeder, benthic detritivore	an organism that eats particulate organic material in or on sediments	Encyclopedia of Life	https://en.wikipedia.org/wiki/Detritivore
http://eol.org/schema/terms/excavating	excavator	yes/no	digs for food, burrows for food	An organism which obtains food by excavating	Encyclopedia of Life	
http://eol.org/schema/terms/feedingCurrent	feeding current	yes/no	feeds in currents, forages in currents	An organism which obtains food by utilizing a feeding current	Encyclopedia of Life	
http://www.wikidata.org/entity/Q1252491	filter feeder	yes/no	suspension feeder	a sub-group of suspension feeding animals that feed by straining suspended matter and food particles from water, typically by passing the water over a specialized filtering structure	WikiData	https://en.wikipedia.org/wiki/Filter_feeder
