uri	name	type	synonyms	definition	resource	wikipedia
						
Body Mass						
http://purl.obolibrary.org/obo/VT_0001259	body mass	measurement	body weight, whole body mass	The amount of matter in the body of an organism	Vertebrate trait ontology	
http://eol.org/schema/terms/bodyMassDry	dry body mass	measurement	dry body weight, dehydrated body mass, dessicated body mass	Dehydrated body mass	Encyclopedia of Life	
http://eol.org/schema/terms/bodyMassWet	wet body mass	measurement	wet body weight, fresh body mass	Mass of one individual of this taxon, living or fresh, without desiccation	Encyclopedia of Life	
						
						
Body Parts (length/width)						
https://www.wikidata.org/wiki/Q34630	abdomen length	length/width	abdominal length	Posterior-most body segment of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Insect_morphology#Abdomen
https://en.wiktionary.org/wiki/aculeus	aculeus length	length/width	aculei length, aculeate length	Sting, stinger, of an insect	Wikiworld	https://www.wikidata.org/wiki/Q657076
https://www.wikidata.org/wiki/Q380510	aedeagus length	length/width	aedeagal length, aedeagi length	Male reproductive organ	Wikiworld	https://en.wikipedia.org/wiki/Aedeagus
https://www.wikidata.org/wiki/Q204664	antenna length	length/width	antennal length, antennae length	Paired appendages used for sensing in arthropods	Wikiworld	https://en.wikipedia.org/wiki/Antenna_(biology)
https://en.wikipedia.org/wiki/Arthropod_leg	basis length	length/width	basal length	Second segment of crustacean legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/basitarsus	basitarsus length	length/width	basitarsal length	Sixth segment of arachnid legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q170494	body length	length/width		Main body excluding appendages	Wikiworld	https://en.wiktionary.org/wiki/body
https://www.wikidata.org/wiki/Q666115	carapace length	length/width	carapacial length	A dorsal (upper) section of the exoskeleton	Wikiworld	https://en.wikipedia.org/wiki/Carapace
https://en.wikipedia.org/wiki/Arthropod_leg	carpus length	length/width	carpal length	Fifth segment of crustacean legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q10994170	cephalon length	length/width	cephalic length	The head section of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Cephalon_(arthropod_head)
https://en.wiktionary.org/wiki/cephalosome	cephalosome length	length/width	cephalosomal length	The anterior region or head of insects and other arthropods	Wikiworld	https://en.wiktionary.org/wiki/cephalosome
https://www.wikidata.org/wiki/Q1137335	cephalothorax length	length/width	prosoma length, prosomal length	The arthropod head and the thorax tagma fused together	Wikiworld	https://en.wikipedia.org/wiki/Cephalothorax
https://www.wikidata.org/wiki/Q1054892	cercus length	length/width	cerci length, cersal length	Paired appendages on the rear-most segments of many arthropods	Wikiworld	https://en.wikipedia.org/wiki/Cercus
https://www.wikidata.org/wiki/Q1069045	chela length	length/width	chelae length, chelate length	Claw or pincer-like organ terminating certain limbs of some arthropods	Wikiworld	https://en.wikipedia.org/wiki/Chela_(organ)
https://www.wikidata.org/wiki/Q843142	chelicera length	length/width	chelicerae length, cheliceral length	The mouthparts (jaws) of the Chelicerata	Wikiworld	https://en.wikipedia.org/wiki/Chelicerae
https://www.wikidata.org/wiki/Q217605	claw length	length/width	claws length	Claw or pincer-like organ terminating certain limbs of some arthropods	Wikiworld	https://en.wikipedia.org/wiki/Chela_(organ)
https://www.wikidata.org/wiki/Q1103783	clypeus length	length/width	clypeal length, clypei length	One of the sclerites that make up the face of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Clypeus_(arthropod_anatomy)
https://en.wiktionary.org/wiki/coxa	coxa length	length/width	coxal length, coxae length	The proximal segment and functional base of the leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Coxa
https://www.wikidata.org/wiki/Q5207822	dactylus length	length/width	dactylar length, dactyli length	The tip region of the leg of some crustaceans	Wikiworld	https://en.wikipedia.org/wiki/Dactylus
https://en.wiktionary.org/wiki/dorsum	dorsum length	length/width	dorsal length, dorsa length	The dorsal (upper/back) part of an organism	Wikiworld	https://en.wikipedia.org/wiki/Anatomical_terms_of_location#Dorsal_and_ventral
https://www.wikidata.org/wiki/Q658398	elytron length	length/width	elytra length, elytral length	A modified, hardened forewing of certain insect orders	Wikiworld	https://en.wikipedia.org/wiki/Elytron
